,0,1
258,19.86459,1.9601752
259,19.970089,2.9261453
260,20.14677,4.2066855
261,20.224096,5.5553904
262,20.45403,6.707796
263,20.335096,7.7221727
264,19.254023,2.7300954
265,19.422369,3.743255
266,19.587221,4.622642
267,19.576416,5.4932637
268,19.587801,6.6094646
269,19.384256,7.4963574
270,18.493544,3.3612356
271,18.70605,4.1327243
272,18.7075,4.9954567
273,18.628862,5.529999
274,18.590845,6.3138695
275,18.370127,6.9483557
276,17.484085,4.07085
277,17.930407,4.5294557
278,17.862675,5.2124124
279,17.768726,5.6039186
280,17.435274,6.2793136
281,17.349215,6.7326016
282,16.714363,4.234652
283,17.277567,4.759848
284,17.241888,5.2760973
285,16.945642,5.7807198
286,16.699068,5.945171
287,16.658049,6.342589
288,19.202675,1.5097587
289,19.595133,2.6345475
290,19.625158,4.065476
291,19.818909,5.8795137
292,19.921677,7.2126665
293,19.899284,8.110899
294,18.943329,2.1565547
295,19.056242,3.008289
296,19.338686,4.238936
297,19.42514,5.6795583
298,19.358105,6.8193927
299,19.281874,7.651466
300,18.219917,2.8859324
301,18.396654,3.755874
302,18.578949,4.8452015
303,18.511175,5.694758
304,18.569849,6.661027
305,18.33467,7.477865
306,17.527706,3.4799528
307,17.532635,4.184058
308,17.347527,5.0468
309,17.61973,5.670154
310,17.492294,6.4805536
311,17.154179,7.1370807
312,16.487404,4.1704974
313,16.718075,4.6875763
314,16.756483,5.427596
315,16.531513,5.6085644
316,16.330519,6.2715015
317,16.23226,6.90883
318,15.929123,4.4786377
319,15.916938,4.837221
320,15.98997,5.451516
321,15.848155,5.680117
322,15.628768,6.0212326
323,15.45068,6.4885783
324,18.28622,1.8336333
325,18.632921,2.7230215
326,18.758318,4.0392103
327,18.980673,5.9950905
328,18.87176,7.352317
329,18.89379,8.051194
330,17.926245,2.3528938
331,18.066868,2.9484787
332,18.272484,4.377394
333,18.290918,5.747999
334,18.301197,6.984079
335,18.211168,7.93048
336,17.233564,2.9512994
337,17.28101,3.7710655
338,17.32226,4.830444
339,17.34292,5.58094
340,17.428045,6.6982265
341,17.371712,7.551004
342,16.479824,3.633528
343,16.278435,4.3244715
344,16.290838,5.1637554
345,16.253008,5.783432
346,16.218071,6.4653554
347,16.140442,7.286153
348,15.37025,4.1383257
349,15.382047,4.8673687
350,15.364329,5.4010844
351,15.290431,5.8206344
352,15.094718,6.681707
353,14.926182,7.0667686
354,14.79739,4.683671
355,14.724385,5.2093997
356,14.593296,5.532057
357,14.397896,5.7977066
358,14.250062,6.4093947
359,14.26731,6.768686
