T20,T80,P188,DMSO,PG,Rep 1 Absorbance,Rep 2 Absorbance,Rep 3 Absorbance,Mean Absorbance,Std Absorbance,Round Number,Relative SD,Solubility (mg/mL)
4,2,4,3,3,0.1557,0.1257,0.3667,0.216033333,0.131340524,0,,3.073575407
1,0,0,4,4,0.1017,0.1597,0.1557,0.139033333,0.032393415,0,,1.951584382
1,1,3,1,1,0.0367,0.0507,0.0787,0.055366667,0.021385353,0,,0.732451288
1,3,0,5,4,0.1937,0.3297,0.2847,0.269366667,0.069284438,0,,3.850712056
0,4,2,4,4,0.0547,0.1357,0.1457,0.112033333,0.04990324,0,,1.558158958
4,1,2,1,3,0.0737,1.5547,0.1517,0.593366667,0.833452058,0,,8.571817145
1,1,3,5,4,0.0547,1.3407,0.1187,0.5047,0.724704078,0,,7.279827476
5,4,1,2,1,0.1557,0.3207,0.3927,0.2897,0.121503086,0,,4.146995395
1,0,1,1,3,0.0657,1.1327,0.1337,0.444033333,0.597371186,0,,6.395834543
4,4,3,2,4,0.0767,0.1577,0.3087,0.181033333,0.117746904,0,,2.563579487
4,0,1,5,4,0.1047,0.2337,0.2917,0.210033333,0.095720078,0,,2.986147535
4,4,0,2,4,0.1527,0.3617,0.3357,0.283366667,0.113904931,0,,4.054710424
2,2,2,5,3,0.1387,0.1497,0.1977,0.162033333,0.031374087,0,,2.286724558
4,1,2,1,5,0.1227,0.1417,0.1697,0.1447,0.023643181,0,,2.034155155
